value,parameter,param,Estimate,Est.Error,Q2.5,Q97.5,Estimate_OR,Est.Error_OR,Q2.5_OR,Q97.5_OR
m_minimpute_sv_shannon_low_count_param_est,shannon,b_shannon_low_count,0.319526341,0.09751223386438373,0.14115990000000003,0.515948975,1.37647562983311,1.102424928397895,1.15160877550656,1.6752274967337597
m_minimpute_svp_minimpute_shannon_low_count_param_est,shannon,b_shannon_low_count,0.3753274395,0.10473088724936061,0.18388165,0.591479825,1.4554679142876576,1.1104117441843404,1.201873572941457,1.8066599787902875
m_minimpute_svaps_shannon_low_count_param_est,shannon,b_shannon_low_count,0.2408577019875,0.09878868873581514,0.05702964250000001,0.4423143500000001,1.272339970976893,1.103833022561275,1.058687192065473,1.5563048879898522
m_minimpute_sv_max_read_prop_minimpute_high_count_param_est,max_read_prop,b_max_read_prop_minimpute_high_count,0.19982851365725,0.08741934561840287,0.033580019999999995,0.373522225,1.2211933222263627,1.0913542383919552,1.0341501931138843,1.4528428526170754
m_minimpute_svp_minimpute_max_read_prop_minimpute_high_count_param_est,max_read_prop,b_max_read_prop_minimpute_high_count,0.194277711460875,0.08826276750251619,0.025131180000000003,0.36766567500000014,1.2144334982307217,1.0922750987222234,1.0254496301842349,1.4443590728975146
m_minimpute_svaps_max_read_prop_minimpute_high_count_param_est,max_read_prop,b_max_read_prop_minimpute_high_count,0.1816753833798225,0.09259175583225991,0.006375566000000015,0.36634002500000024,1.1992248423731382,1.0970137943561946,1.006395933182008,1.4424456268526187
m_minimpute_sv_log_copy_16S_per_ml_sputum_high_count_param_est,log_copy_16S_per_ml_sputum,b_log_copy_16S_per_ml_sputum_high_count,0.1527578992875,0.08384031346097512,-0.007469186999999997,0.32535667500000004,1.1650428870837397,1.087455227981447,0.9925586380572698,1.3845243831580263
m_minimpute_svp_minimpute_log_copy_16S_per_ml_sputum_high_count_param_est,log_copy_16S_per_ml_sputum,b_log_copy_16S_per_ml_sputum_high_count,0.128593891134275,0.08521212616301047,-0.029576964999999997,0.29796437500000006,1.1372281919235983,1.0889480365688715,0.9708561528218314,1.3471137960957196
m_minimpute_svaps_log_copy_16S_per_ml_sputum_high_count_param_est,log_copy_16S_per_ml_sputum,b_log_copy_16S_per_ml_sputum_high_count,0.085641252679075,0.10994546168180264,-0.12275214999999999,0.305644375,1.089415433324978,1.116217192190382,0.8844828544718221,1.3574994599513757
