value,parameter,param,Estimate,Est.Error,Q2.5,Q97.5,Estimate_OR,Est.Error_OR,Q2.5_OR,Q97.5_OR
m_impute_sv_shannon_low_count_param_est,shannon,b_shannon_low_count,0.121762824673375,0.06107409688198861,0.0060869120000000025,0.2491721,1.1294861837552514,1.0629776746005202,1.0061054748933016,1.2829628119711822
m_impute_svp_shannon_low_count_param_est,shannon,b_shannon_low_count,0.132365137561,0.06661507914577446,0.010258165000000001,0.26988480000000015,1.141525056854412,1.0688839632511407,1.0103109603479514,1.3098135515204847
m_impute_svaps_shannon_low_count_param_est,shannon,b_shannon_low_count,0.1343274039981,0.0784245870311464,-0.00971218475,0.297624775,1.1437672323139554,1.0815817867930588,0.9903348262002004,1.3466563939218505
m_impute_sv_max_read_prop_high_count_param_est,max_read_prop,b_max_read_prop_high_count,0.0557036468325625,0.05778679599547831,-0.0552330375,0.17415055000000002,1.057284307750438,1.0594890843130134,0.9462646071189581,1.1902347421729584
m_impute_svp_max_read_prop_high_count_param_est,max_read_prop,b_max_read_prop_high_count,0.05628363560295,0.05902141969052515,-0.060556017499999996,0.1727848,1.057897698638759,1.0607979624608777,0.9412410415715433,1.1886102886250562
m_impute_svaps_max_read_prop_high_count_param_est,max_read_prop,b_max_read_prop_high_count,0.0781784916109525,0.07038756558150182,-0.0542510825,0.22805750000000002,1.0813156472179724,1.0729239290707178,0.9471942527416255,1.2561575524150623
m_impute_sv_log_copy_16S_per_ml_sputum_high_count_param_est,log_copy_16S_per_ml_sputum,b_log_copy_16S_per_ml_sputum_high_count,0.0222782877102,0.054346153484527995,-0.0871530375,0.12797755000000002,1.022528301939506,1.0558500250705407,0.9165368203960889,1.1365274873685605
m_impute_svp_log_copy_16S_per_ml_sputum_high_count_param_est,log_copy_16S_per_ml_sputum,b_log_copy_16S_per_ml_sputum_high_count,0.0210763641870075,0.05634694298772111,-0.09167062000000001,0.1334301,1.0213000394069545,1.0579646734953942,0.9124056282223643,1.1427413857204596
m_impute_svaps_log_copy_16S_per_ml_sputum_high_count_param_est,log_copy_16S_per_ml_sputum,b_log_copy_16S_per_ml_sputum_high_count,0.068368984926275,0.0762601494111323,-0.07676905749999999,0.23085077500000004,1.0707603300172255,1.0792433021496124,0.9261037056168204,1.2596712509808632
